file,kernel,comp,rational,mem,localmem,coalesced,atomic,F2:coalesced/mem,F4:comp/mem
00b46fb07abb5df54e84c3eaf7cafdd1e97587b4.cl,entry,15,37,1,0,0,0,0,15
00b8c35a85c6efa4aa5c5e65655c1cb5fdb56ea1.cl,entry,22,15,1,0,0,0,0,22
00b9214df37ba006fe53133e911b95091d20c0d6.cl,entry,8,8,1,0,0,0,0,8
00ba2d28f345c0f47e377512b931ba7fc40d68a0.cl,entry,7,26,1,0,0,0,0,7
00ba88a04a46d484814a44f1c7689077e7e0249a.cl,entry,17,18,1,0,0,0,0,17
00baccfe487f80a786892af85fa2cae515545ac6.cl,entry,61,123,1,0,0,0,0,61
00bcd54d6f1b6662e2150f7d148e8f62ff7bfd3c.cl,entry,29,10,1,0,0,0,0,29
00bd77c450fa41c19fe0cc4f14baabc47f2ba8e5.cl,entry,7,0,1,0,0,0,0,7
00bdf3273780e9df62a896bd9a013c3e7db9a408.cl,entry,8,32,1,0,0,0,0,8
00be1a7f4290ea488e8dfee851c2fb5fd8ceb514.cl,entry,24,35,1,0,0,0,0,24
00beaf4a4cc3790baa427961ad68deb58514159a.cl,entry,7,3,1,0,0,0,0,7
00bef72beff3be4b6584d0fd98288478aee071a6.cl,entry,12,23,1,0,0,0,0,12
00bf0bb019c1eefea47cee19eafa58c7699437d4.cl,entry,21,32,1,0,0,0,0,21
00bf139efe94421906d6de948503e9fd39a6259c.cl,entry,7,21,1,0,0,0,0,7
00bf3ebfab0a19f05c493fa027b8dec8932e413f.cl,entry,32,47,1,0,0,0,0,32
00bfc2a930b217907c6a0184a8d5a4dd9518d687.cl,entry,7,0,1,0,0,0,0,7
00c00824adfb6faa672ed177cee58e64282c2f5b.cl,entry,7,0,1,0,0,0,0,7
00c0a22a27d1237f24e214fe043254e8843d601e.cl,entry,7,49,1,0,0,0,0,7
00c14119cb6db6acf0eefcccf8b5ea8e9bf115ff.cl,entry,36,38,1,0,0,0,0,36
00c4c448bf1261cd916bacc789cbb531b7d63a7e.cl,entry,151,183,1,0,0,0,0,151
00c58d66c97b0c03469b25087a0f34dae4744756.cl,entry,132,224,1,0,0,0,0,132
00c89730846bb444f4fa7398251b043a1ac3ee34.cl,entry,7,49,1,0,0,0,0,7
00c9ccb7dd2c2e5e233488acdf77db11def7627e.cl,entry,224,326,1,0,0,0,0,224
00cbc39a436cd63668f8154096cc46781b0e8abc.cl,entry,143,157,1,0,0,0,0,143
00cc1654a75625d723443b2b23255cceb5f7b6f7.cl,entry,334,504,1,0,0,0,0,334
00cf2b496b92cd400834320aa4646b7b62670da2.cl,entry,323,440,1,0,0,0,0,323
00d067969fa80e320be9b5d8d124b79b0c977ba5.cl,entry,67,83,1,0,0,0,0,67
