file,kernel,comp,rational,mem,localmem,coalesced,atomic,F2:coalesced/mem,F4:comp/mem
0219a22c6da35e7fbdaaf5570f732c5c5506f82f.cl,A,2,1,6,0,6,0,1,0.333
021b84412965552e9d2f734f8055ce18552b1b0b.cl,A,2,1,3,0,2,0,0.667,0.667
021bcd92b2ac4358686c7e98e82d189254dc83e3.cl,A,5,3,5,0,4,0,0.8,1
021bd9d275ce99a52aa37209e7c96f908d699b46.cl,A,0,1,2,0,1,0,0.5,0
021c34953c54117830368b87165c68a5500052ff.cl,A,1,0,2,0,2,0,1,0.5
021d001175348371f496a7dc4be81a3f37e49b22.cl,A,2,1,5,0,5,0,1,0.4
021e286857e6c98e6560a917127396e9966707c7.cl,A,1,1,3,0,3,0,1,0.333
021e5d691816828d8869db9ce9e1a52f1dc439ce.cl,A,0,1,1,0,0,0,0,0
021edd91590b893b29b077f98385f05e86910f21.cl,A,3,1,3,0,3,0,1,1
021f573459c7833e03b370c60e9aa465df08160b.cl,A,1,0,2,0,2,0,1,0.5
021fc1ffa0b9f209b718f44908e7e65cf52fa46f.cl,A,2,0,1,0,1,0,1,2
021fe7aecdbc00be13092caaea9d13c1f2ddfbd3.cl,A,2,2,1,0,1,0,1,2
0221d8687d9d637f440e02f76fa0951a2d749f23.cl,A,2,2,7,0,6,0,0.857,0.286
02225ddf74374b54d90ed4d25dbeacc587054ebf.cl,A,1,2,5,0,4,0,0.8,0.2
02245d0e4ec977a3294c57dd145a637a7024ad68.cl,A,0,1,1,0,1,0,1,0
0225ef648dfa6d93aeda86b215d274cd9c03f801.cl,A,2,1,3,0,2,0,0.667,0.667
02276150bbe940c4716467fb271e09d8687d12ac.cl,A,1,0,3,0,3,0,1,0.333
022ac3333be8d04144302d74dd127978a3bef074.cl,A,0,2,2,0,2,0,1,0
022e607960399453995140b518a4e3e940d067c5.cl,A,1,0,3,0,3,0,1,0.333
022e9b66278fe51194f70509b37197148ced6203.cl,A,3,1,4,0,3,0,0.75,0.75
0230c1e2623d7e84be923930c367da57f74126e3.cl,A,0,2,2,0,2,0,1,0
0231cad2af993f759572a6231ce57402ca7e42fc.cl,A,3,0,4,0,3,0,0.75,0.75
023236a9f233191e38fde56308554727aec2fefb.cl,A,0,1,2,0,2,0,1,0
0232674bd679cec565855f9d29f59592c157d2df.cl,A,3,1,2,0,1,0,0.5,1.5
023296dee0fea27d800df3adae89223ad9511077.cl,A,4,1,6,0,4,0,0.667,0.667
0233356c038dfc057e3456b61abd5c511b9055c2.cl,A,2,4,4,0,3,0,0.75,0.5
023376de6501ccd93ac9f299ffdf279ec7895b10.cl,A,0,2,3,0,1,0,0.333,0
023489cd4d7c48274cda22c3cfb538d247359c99.cl,A,2,2,6,0,6,0,1,0.333
02365b88e0a09b7a8f1512f3fccb11bce6143f5c.cl,A,2,2,2,0,2,0,1,1
02370fc550b0d158b59fa651a74a2d8b22c82954.cl,A,0,1,3,0,2,0,0.667,0
02385f20637393f8ab5398820d9a697b23e621a3.cl,A,1,1,3,0,3,0,1,0.333
023acc0eec632c8d546e8a2385b84f974b5e74dc.cl,A,2,1,3,0,3,0,1,0.667
023b1bbd03ae9f2e2c26a0bbc5a09835a875c8f4.cl,A,1,1,1,0,1,0,1,1
023be62f3db0ca22844d58c6769dae9babfcb51e.cl,A,3,4,9,0,6,0,0.667,0.333
023d06fbc0e53918f17b87aff53b369202b05700.cl,A,3,1,4,0,4,0,1,0.75
023ed2382880ff79456fa39e3846d4cd5c86ae78.cl,A,2,1,5,0,5,0,1,0.4
023efe7a8da0f6e5b1d0735c265a50e36e4cf0e3.cl,A,1,1,4,0,4,0,1,0.25
023f4a62e3cb1717ddc23f98af8ab5588e3abe1f.cl,A,3,1,6,0,5,0,0.833,0.5
024011b2be2bf803d61912bc5772a35b543eb332.cl,A,4,0,3,0,1,0,0.333,1.33
024090184d30ecc8ccc7415cf4e579c1f3026824.cl,A,0,1,2,0,2,0,1,0
02409091f24e044a0601772f6a2e9fba29fff9bc.cl,A,0,0,2,0,2,0,1,0
0241f0a37470847f82cadb8738b99703c9e32095.cl,A,1,1,4,0,4,0,1,0.25
02428822dac464a6950ce9a8d7db0d68d028c7c0.cl,A,4,1,7,0,7,0,1,0.571
0243576ff88c2a42b384460a580ee0cd379e0950.cl,A,0,1,3,0,3,0,1,0
0245543e26dfb2faf42fe059cf604c5cc794d5af.cl,A,0,1,4,0,3,0,0.75,0
